dihedral_deg,energy_kJmol
1.782512172057380440e+02,4.068618777279860765e+00
-1.791587318919454503e+02,2.947952076274540367e+00
1.770887879735507227e+02,3.673224360587290960e+00
-1.785112227048850002e+02,6.637548865761309091e-01
-1.768108074669389680e+02,3.466460662734742293e+00
1.773604558916147766e+02,3.780026671635024371e+00
1.796073926078799445e+02,2.337525741899858289e+00
1.783874974869720802e+02,4.318362084480533269e+00
-1.765847287778816508e+02,4.009647494601383144e+00
-1.762173442341563145e+02,5.546672480117846860e+00
-1.774517357074152528e+02,4.209284229561942148e+00
1.797938621017110279e+02,2.012485884539623626e+00
-1.742814105869738057e+02,3.514001581117752071e+00
1.662019990486762708e+02,3.163904250878053048e+00
-1.689635320410291968e+02,2.863461652005595770e+00
1.699241386151270490e+02,2.712253658283237279e+00
1.780330041358759274e+02,5.245488490243163326e+00
-1.773049871669871038e+02,7.123688283095984453e+00
1.772818388320159784e+02,9.387017713003825037e+00
1.792071382486020639e+02,6.831685978856006258e+00
-1.717492985808849824e+02,4.083583358172907296e+00
-1.760464378726090615e+02,2.759932411453980716e+00
1.738844492803445974e+02,4.123450593406951192e+00
-1.737335285175955448e+02,3.134943284380601547e+00
1.758834473711178816e+02,4.248814650590402309e+00
1.784033590818125674e+02,3.095104953576420126e+00
1.711902475772707248e+02,3.092785034876935235e+00
-1.604813499247135837e+02,8.251594721683197520e+00
1.625642127498037723e+02,7.394784331976096858e+00
-1.714204961999175509e+02,8.368061483877944795e+00
1.702180352440041418e+02,1.900738135593267941e+01
-1.682518077873066318e+02,1.189509046154734229e+01
-1.741645974879991741e+02,1.603314837529391568e+01
1.731292197668231267e+02,7.826144814409859762e+00
-1.745309549711838883e+02,1.613059108991184942e+01
-1.744039345769631382e+02,6.360930216741023990e+00
1.708234659303853959e+02,1.122231437591641878e+01
-1.772757087392671735e+02,7.520134040407970843e+00
-1.635240092116643211e+02,8.829049643411739368e+00
1.697761635216829461e+02,1.186245321650103968e+01
-1.754651505229259669e+02,7.469614111687359781e+00
-1.708276243767569724e+02,9.468578914232864463e+00
1.720797300728154369e+02,7.523359435324215028e+00
-1.751571241777583054e+02,8.767740888199682558e+00
-1.763188171632056367e+02,6.069489682010829057e+00
1.666716807960109747e+02,1.084472207905677266e+01
-1.733768861287121581e+02,9.765710909533858342e+00
-1.663947217017284288e+02,1.293702102311786462e+01
1.672580744626249611e+02,9.721988997373266272e+00
-1.748408334474932246e+02,1.053781725783055379e+01
-1.627422011750701927e+02,1.146761212500003424e+01
-1.656338287042825641e+02,1.919757109082518198e+01
1.603864999696167217e+02,1.686502732118714221e+01
-1.692459219536354738e+02,8.745172762852494230e+00
-1.626016061195510929e+02,9.823359331754986101e+00
1.628521090997444105e+02,8.627289853517957852e+00
-1.783767139792128091e+02,8.154739496764850770e+00
-1.644032901679827035e+02,8.365695590248058977e+00
1.754218152511157314e+02,6.259169539530754278e+00
1.784631529934964362e+02,4.445392292331914241e+00
-1.595518064791663164e+02,7.209365956261803987e+00
1.686980346986562722e+02,5.685359261660677177e+00
-1.681777310865413142e+02,5.368493520942183572e+00
-1.767842658030745326e+02,5.085587184094391588e+00
1.733330009685630841e+02,6.004000127793615249e+00
-1.665093659134189181e+02,5.558064629957400804e+00
1.733215117473163502e+02,7.051483421442529043e+00
1.755969937318722032e+02,7.972299318939295887e+00
-1.648946146586072246e+02,6.524735422088797421e+00
1.698637611044230482e+02,4.580482940759889487e+00
