dihedral_deg,energy_kJmol
-1.693086559948702927e+02,1.182228689329553539e+01
1.695870613755423904e+02,7.791318131242398692e+00
-1.680428215537885137e+02,5.431532528847856867e+00
-1.778002598604506090e+02,2.365755838598300631e+00
1.698181873330284759e+02,4.019986256613725217e+00
-1.638123583668840411e+02,6.626357252681890131e+00
1.673241924665636589e+02,7.247349555678074040e+00
-1.797729938476769576e+02,3.665021457336309574e+00
-1.767149343770357746e+02,1.853256215169049259e+00
1.774952508411078043e+02,9.217716242069671218e-01
-1.770823110560471321e+02,2.289900642364593786e+00
-1.770288151201583844e+02,8.858837133692452070e+00
1.762307716614027129e+02,8.063142570270088072e+00
-1.779286127387968577e+02,7.184429512742566359e+00
1.790589829196973994e+02,5.828105088992056260e+00
1.787433082808410063e+02,4.832304880441868455e+00
1.781440831026967544e+02,5.931498897829074579e+00
-1.728445193681181991e+02,7.790492319915729880e+00
1.720831386555053086e+02,7.821916818386071668e+00
-1.777500266201319903e+02,7.722956551853540574e+00
-1.613729733540511972e+02,1.173328530447084717e+01
1.620231211485927076e+02,1.327114299104916029e+01
-1.579448015186611940e+02,1.313643559674529726e+01
1.699444468817163170e+02,9.191657190994913407e+00
1.713201573166770686e+02,6.347761155022630497e+00
-1.431345442929305136e+02,2.233221246121351200e+01
1.638049124087843325e+02,1.466384912408961583e+01
-1.661198648595909901e+02,1.144035295264023588e+01
1.748380672425471687e+02,1.314420350528609305e+01
-1.787076369337592894e+02,1.141207390309633496e+01
-1.699093757135197507e+02,4.367879926008489733e+00
1.610413686140088600e+02,5.992311430862835131e+00
-1.664438313929269384e+02,4.118395405236816131e+00
1.650630493563868981e+02,5.240445676554539745e+00
-1.753789254104457882e+02,3.279493659897625424e+00
-1.751558011654847746e+02,3.758211947462699598e+00
1.751490844745766253e+02,5.667269604286673257e+00
1.715433659647362390e+02,2.174495408367767002e+00
-1.698286650421964623e+02,3.926241904216213996e+00
1.625771327806757824e+02,5.668988350947009813e+00
